entrezid1	entrezid2
5465	7350
5465	4023
5465	3158
5465	9415
5465	2168
5465	1581
5465	1579
5465	1374
5465	345
5465	335
5465	51129
5465	2180
5465	8309
5465	51
5452	677820
5452	5966
5452	7916
5452	56901
5452	4067
5452	1647
5451	7390
5451	1831
5451	145389
5451	7356
5451	5396
5451	5617
5451	4609
5451	4023
5451	3714
5451	6928
5451	2796
5451	8521
5451	1647
5451	5168
5451	595
5451	8419
5080	2645
5079	23230
5079	9043
5079	11342
5079	473
5079	57799
5079	23598
5079	7071
5079	80173
5079	131583
5079	374786
5079	9681
5079	10487
5079	8553
4800	65249
4800	26137
4800	124997
4800	10163
4800	27005
4800	91544
4800	29089
4800	100533179
4800	140739
4800	7272
4800	283237
4800	23112
4800	55751
4800	199745
4800	9013
4800	64426
4800	81551
4800	56910
4800	100124534
4800	4087
4800	23428
4800	6510
4800	348235
4800	51804
4800	22933
4800	55209
4800	10169
4800	152579
4800	5936
4800	9230
4800	55660
4800	56980
4800	5547
4800	5514
4800	5495
4800	84295
4800	84844
4800	5187
4800	114883
4800	10956
4800	79023
4800	4800
4800	4776
4800	7867
4800	9020
4800	100133315
4800	91750
4800	8861
4800	253558
4800	9682
4800	84541
4800	64843
4800	3305
4800	150274
4800	100534595
4800	221092
4800	3149
4800	23462
4800	10866
4800	84705
4800	2932
4800	2639
4800	2618
4800	2224
4800	83460
4800	9844
4800	22818
4800	1163
4800	11261
4800	79094
4800	253782
4800	1063
4800	8697
4800	899
4800	257236
4800	92922
4800	847
4800	835
4800	55832
4800	81617
4800	57597
4800	6790
4800	472
4800	23130
4800	4329
4800	3268
4800	51412
4800	60
4791	7412
4791	7185
4791	7157
4791	6653
4791	11021
4791	4843
4791	64332
4791	4793
4791	4791
4791	4790
4791	10725
4791	84441
4791	4049
4791	9404
4791	259307
4791	24139
4791	1385
4791	598
4791	596
4790	65986
4790	7424
4790	7422
4790	7412
4790	7186
4790	7124
4790	7097
4790	116238
4790	6653
4790	9021
4790	4088
4790	6385
4790	8767
4790	5980
4790	5971
4790	11021
4790	5328
4790	84876
4790	4929
4790	64332
4790	4793
4790	4792
4790	4791
4790	4790
4790	10725
4790	4318
4790	1326
4790	84441
4790	9404
4790	3726
4790	3659
4790	3569
4790	259307
4790	3554
4790	3456
4790	3106
4790	24139
4790	10148
4790	6374
4790	2921
4790	2920
4790	6373
4790	3627
4790	1440
4790	1385
4790	9308
4790	941
4790	595
4790	6347
4790	330
4790	329
4790	598
4790	596
4790	567
4790	51676
4790	10550
4782	6440
4782	2805
4782	1277
4609	84133
4609	57169
4609	51333
4609	84450
4609	100131213
4609	162979
4609	23036
4609	7705
4609	85416
4609	92092
4609	166793
4609	221527
4609	7533
4609	10897
4609	4904
4609	64328
4609	7504
4609	7486
4609	9277
4609	134430
4609	154807
4609	7425
4609	7408
4609	55697
4609	8409
4609	51096
4609	10208
4609	57602
4609	9960
4609	9099
4609	7389
4609	81622
4609	29128
4609	7352
4609	127733
4609	29855
4609	7327
4609	7323
4609	11065
4609	7320
4609	9898
4609	1890
4609	7297
4609	51060
4609	7295
4609	27175
4609	7277
4609	7106
4609	7249
4609	54822
4609	51605
4609	9319
4609	54765
4609	22878
4609	10131
4609	7174
4609	401505
4609	9804
4609	7148
4609	30000
4609	943
4609	7110
4609	55654
4609	10972
4609	7090
4609	1678
4609	92609
4609	9967
4609	96764
4609	9392
4609	7037
4609	7015
4609	7008
4609	6949
4609	10312
4609	10915
4609	6907
4609	29110
4609	9797
4609	10629
4609	6878
4609	6875
4609	8831
4609	10492
4609	55638
4609	6838
4609	6829
4609	445329
4609	6818
4609	10147
4609	8677
4609	2040
4609	3925
4609	6789
4609	6778
4609	6774
4609	6480
4609	6741
4609	6432
4609	6426
4609	6729
4609	6715
4609	8878
4609	283377
4609	6689
4609	6648
4609	6647
4609	6626
4609	692201
4609	25826
4609	26792
4609	26793
4609	692213
4609	692227
4609	594837
4609	594838
4609	677831
4609	594839
4609	677802
4609	9126
4609	4087
4609	8140
4609	6542
4609	55117
4609	7922
4609	25800
4609	23516
4609	153129
4609	6517
4609	5250
4609	6573
4609	9120
4609	10280
4609	6478
4609	6470
4609	81537
4609	118980
4609	6418
4609	5270
4609	10169
4609	80031
4609	51150
4609	10389
4609	6251
4609	9252
4609	6234
4609	6233
4609	6206
4609	6161
4609	6143
4609	6137
4609	6134
4609	391
4609	6004
4609	5993
4609	25996
4609	29803
4609	283248
4609	1104
4609	5936
4609	29890
4609	5932
4609	10411
4609	5902
4609	5901
4609	8438
4609	9135
4609	5866
4609	5864
4609	81890
4609	5836
4609	5831
4609	11137
4609	10728
4609	80142
4609	9791
4609	5725
